station_code,total_packages,latitude,longitude
DSP5,854,-22.859398965059903,-47.05770376530612
DSP4,851,-23.64913426953713,-46.54598127275327
XSJ1,845,-23.203834788230317,-45.88992236683279
DRS5,844,-30.01203234006601,-51.19306480393032
DCE3,838,-3.769503349987381,-38.579096658557866
DPR2,834,-25.445195826544104,-49.296730931927975
DRJ3,823,-22.93022794990852,-43.3686257600302
DSP2,837,-23.582814213415123,-46.58689217626708
DMG2,821,-19.880421480241914,-43.9174004658878
DMG2,1366,-19.913421553019706,-43.939599106909874
DCE3,812,-3.7590589922040785,-38.4746792598134
DES2,809,-20.303236435119725,-40.28497297044982
DSA8,807,-12.965588009442554,-38.48262888382247
DSP4,805,-23.67057548271242,-46.54661136557822
DRJ3,802,-22.940532348168976,-43.39038900786932
DSP2,797,-23.58477705423488,-46.54409124692865
DSP2,800,-23.549633013632263,-46.60734269134957
DGO2,789,-16.709962074245553,-49.307657856909216
DSP2,788,-23.465680787818073,-46.562024468006555
DES2,784,-20.314236168929956,-40.30658945057506
DMG2,784,-19.912211284597735,-43.98237530598934
XCS1,783,-29.16194325669029,-51.180193942132924
DES2,780,-20.2475702685573,-40.262526466994565
DPR2,776,-25.477858565964034,-49.27655232826385
DSP2,774,-23.54184430259405,-46.54283144021344
DES2,772,-20.381180281605868,-40.30784103294063
DBR9,763,-23.608032182306733,-46.737608502410446
DPE4,762,-8.025763952950017,-34.88468775402624
DRS5,761,-30.027770944480185,-51.23629010224672
DPE4,757,-8.16873829657687,-34.92750142700997
DSA8,755,-12.977470312295152,-38.46168645532599
DRJ3,753,-23.01478356717923,-43.456734345854514
DPB3,751,-7.166692886083476,-34.87664158594166
DSA8,750,-12.965798185198288,-38.440395672532865
DPE4,745,-7.978153209387457,-34.842788356760394
DSP2,745,-23.434414853632276,-46.539682659942336
DBS5,744,-15.812588070920743,-47.93381611686888
DBR9,728,-23.533930986180113,-46.713992635659935
DPB3,726,-7.130948538263196,-34.85560522796123
DPB3,720,-7.16684422052976,-34.835238249338296
DMG2,715,-19.868617700017126,-43.93851809421389
DBR9,711,-23.52219424648074,-46.735063786062476
DCE3,707,-3.794204363778141,-38.53774345777196
XSJ1,703,-23.23531041232244,-45.91225958178847
DPB3,699,-7.118929677286723,-34.876195153343595
DSP4,697,-23.664641516226503,-46.675015191053866
DMG2,697,-19.856810380948293,-43.95963445805653
XPB1,692,-7.245562344661756,-35.89414057762139
DBR9,1092,-23.494959215778703,-46.62715732928694
DCE3,680,-3.807185148079673,-38.47536982869653
DBH5,674,-19.979379554113297,-43.9840013895539
DPR2,671,-25.51050714302466,-49.25636980957212
DSP2,668,-23.573066206125542,-46.56517704347713
DBR9,666,-23.57685646746873,-46.71526356359639
DPB3,661,-7.178708740844249,-34.856050249857226
DRJ3,657,-22.941618399964366,-43.34738593685541
DPB3,656,-7.190573172504371,-34.876864824979805
DSA8,649,-13.000808840455653,-38.50427305266086
DSP5,648,-22.9242589000398,-47.0596415642113
DMG2,648,-19.943965404409003,-44.047351525781664
DCE3,646,-3.7701397149012004,-38.537396044165725
DMG2,922,-19.902823613146914,-43.9179402569465
DCE3,644,-3.8059196426298008,-38.558768097314484
DSP2,633,-23.532083605441773,-46.52111585457274
DPE4,632,-8.073374298711615,-34.92660035065994
DRS5,630,-30.019904381057692,-51.21467841020249
DES2,622,-20.19155375054698,-40.28289133998415
XSJ1,617,-23.225410812523574,-45.89053055687785
DRJ3,616,-22.962225856724288,-43.3909135898663
XPB1,616,-7.20979242609048,-35.87296445426126
DSP4,615,-23.680312006839756,-46.56833067237043
DMG2,612,-19.86740826997174,-43.9812914332682
DPR2,604,-25.429923117204982,-49.21097160069745
DRS5,604,-30.105148419943294,-51.23943260480643
DSA8,600,-13.012475230081007,-38.52556885583347
DMG2,600,-19.83439901921615,-43.95909330969897
DRS5,600,-29.915130537199637,-51.18914448853517
DSP5,598,-23.258767702169777,-47.28349459162617
DBH5,601,-19.956994971638707,-43.983459325096526
DRS5,593,-30.015640869343216,-51.15061475334534
DRJ3,592,-23.006683181208473,-43.348955428743565
DGO2,587,-16.666512962587657,-49.26429911303317
