station_code,slot_id,capacity_s,lat,lon
DRJ3,DRJ3_T02_S04,42,-22.88983200330994,-43.30925761402353
DRJ3,DRJ3_T02_S05,42,-22.88983200330994,-43.30925761402353
DRJ3,DRJ3_T02_S06,42,-22.88983200330994,-43.30925761402353
DRJ3,DRJ3_T02_S07,42,-22.88983200330994,-43.30925761402353
DRJ3,DRJ3_T02_S08,42,-22.887898470649603,-43.32457795402507
DRJ3,DRJ3_T02_S09,42,-22.841517100799322,-43.317316258002336
DRJ3,DRJ3_T02_S10,42,-22.84935115357995,-43.31443135616942
DRJ3,DRJ3_T02_S11,42,-22.88896661702721,-43.28157615061226
DRJ3,DRJ3_T02_S12,42,-22.885865059360988,-43.28150174523544
DRJ3,DRJ3_T02_S13,42,-22.8967958828389,-43.278690514101754
DRJ3,DRJ3_T02_S14,42,-22.88983200330994,-43.30925761402353
DRJ3,DRJ3_T02_S15,42,-22.890593209583024,-43.278541730143154
DRJ3,DRJ3_T02_S16,42,-22.888814731402906,-43.28771935938883
DRJ3,DRJ3_T02_S17,42,-22.89044143951611,-43.284684969261114
DRJ3,DRJ3_T02_S18,42,-22.89369460203475,-43.27861612176065
DRJ3,DRJ3_T02_S19,42,-22.89516939746016,-43.281724963537066
DRJ3,DRJ3_T02_S20,42,-22.898270620202574,-43.28179937108508
DRJ3,DRJ3_T02_S21,42,-22.890289433848093,-43.290828177349134
DRJ3,DRJ3_T02_S22,42,-22.900048599781886,-43.27262154808482
DRJ3,DRJ3_T02_S23,42,-22.896644103823956,-43.28483381259859
DRJ3,DRJ3_T02_S24,42,-22.828950408652158,-43.32316042824145
DRJ3,DRJ3_T02_S25,42,-22.887898470649603,-43.32457795402507
DRJ3,DRJ3_T02_S26,42,-22.893542827493587,-43.28475939056791
DRJ3,DRJ3_T02_S27,42,-22.846401110043214,-43.308214129521026
DRJ3,DRJ3_T02_S28,42,-22.891764047228587,-43.29393700254082
DRJ3,DRJ3_T02_S29,42,-22.841517100799322,-43.317316258002336
DRJ3,DRJ3_T02_S30,42,-22.89221971755836,-43.27550728728763
DRJ3,DRJ3_T02_S31,42,-22.887339939903672,-43.284610548678174
DRJ3,DRJ3_T02_S32,42,-22.84935115357995,-43.31443135616942
DRJ3,DRJ3_T02_S33,42,-22.843450710646152,-43.30199693138451
DRJ3,DRJ3_T02_S34,42,-22.841670094858042,-43.31117365127232
DRJ3,DRJ3_T02_S35,42,-22.83663233264349,-43.3264181830953
DRJ3,DRJ3_T02_S36,42,-22.82274300876413,-43.323011230235394
DRJ3,DRJ3_T02_S37,42,-22.88718793873749,-43.290753727079164
DRJ3,DRJ3_T02_S38,42,-22.849504041607968,-43.30828865941695
DRJ3,DRJ3_T02_S39,42,-22.83398826928115,-43.307916017184965
DRJ3,DRJ3_T02_S40,42,-22.82910361921433,-43.31701797197115
DRJ3,DRJ3_T02_S41,42,-22.84136387160077,-43.32345883295828
DRJ3,DRJ3_T02_S42,42,-22.838719641272814,-43.30495649966335
DRJ3,DRJ3_T02_S43,42,-22.831900491238233,-43.329377482364904
DRJ3,DRJ3_T02_S44,42,-22.83531058284494,-43.317167113536456
DRJ3,DRJ3_T03_S01,42,-22.914531129000714,-43.2514537264376
DRJ3,DRJ3_T03_S02,42,-22.914531129000714,-43.2514537264376
DRJ3,DRJ3_T03_S03,42,-22.912180595562443,-43.22066116230449
DRJ3,DRJ3_T03_S04,42,-22.912180595562443,-43.22066116230449
DRJ3,DRJ3_T03_S05,42,-22.914531129000714,-43.2514537264376
DRJ3,DRJ3_T03_S06,42,-22.914681635559567,-43.24531009641666
DRJ3,DRJ3_T03_S07,42,-22.913356618607555,-43.236057500634764
DRJ3,DRJ3_T03_S08,42,-22.911731211339482,-43.239092232987026
DRJ3,DRJ3_T03_S09,42,-22.88439008978551,-43.278392949078935
DRJ3,DRJ3_T03_S10,42,-22.902877802350137,-43.2204388241625
DRJ3,DRJ3_T03_S11,42,-22.910704889798755,-43.21755224184123
DRJ3,DRJ3_T03_S12,42,-22.91483190626724,-43.23916643626744
DRJ3,DRJ3_T03_S13,42,-22.91483190626724,-43.23916643626744
DRJ3,DRJ3_T03_S14,42,-22.905978845119144,-43.220512936155394
DRJ3,DRJ3_T03_S15,42,-22.91320646796881,-43.242201160942656
DRJ3,DRJ3_T03_S16,42,-22.89074474404161,-43.27239846013627
DRJ3,DRJ3_T03_S17,42,-22.836376539212388,-43.27416862258113
DRJ3,DRJ3_T03_S18,42,-22.88439008978551,-43.278392949078935
DRJ3,DRJ3_T03_S19,42,-22.91320646796881,-43.242201160942656
DRJ3,DRJ3_T03_S20,42,-22.903602904059884,-43.25426556188824
DRJ3,DRJ3_T03_S21,42,-22.89384614094044,-43.27247282206245
DRJ3,DRJ3_T03_S22,42,-22.91158094492682,-43.24523586343216
DRJ3,DRJ3_T03_S23,42,-22.908630404694506,-43.23901803042853
DRJ3,DRJ3_T03_S24,42,-22.83785246762373,-43.277277183346804
DRJ3,DRJ3_T03_S25,42,-22.896947426191243,-43.27254718471196
DRJ3,DRJ3_T03_S26,42,-22.893574003999476,-43.22021649251038
