nome,endereco,lat,lon,DS
BRULANCHES,"R. Maj. Ciraulo, 925 - Manaíra, João Pessoa - PB",-7.1084321,-34.8367712,DPB3
MANOS LANCHES,"R. Maj. Ciraulo, 135 - Manaíra, João Pessoa - PB",-7.1087441,-34.8374645,DPB3
Madrugadão Lanches,"Av. Bananeiras, 251 - Manaíra, João Pessoa - PB",-7.1077669,-34.8295755,DPB3
Philipe Sanduíches Especiais,"R. Helena Freire, 509 - Altiplano Cabo Branco, João Pessoa - PB",-7.134096,-34.8291389,DPB3
Lanchonete Da Nina,"R. Dr. Severino Procópio - Lot. do Iapc, João Pessoa - PB",-7.128078,-34.8547578,DPB3
Tropical Hamburgueria e Açaiteria,"R. Joaquim Pires Ferreira, 654 - Estados, João Pessoa - PB",-7.1059179,-34.8567042,DPB3
O Leitão Lanches hambúrgueria,"Av. João Maurício, 581 - sala 11 - Manaíra, João Pessoa - PB",-7.1068068,-34.8277885,DPB3
Markão Lanches,"R. Antônio Gomes Carneiro, 74 - Manaíra, João Pessoa - PB",-7.0963332,-34.8362988,DPB3
Oxe Manaíra Bar e Restaurante,"Av. João Maurício, 325 - Manaíra, João Pessoa - PB",-7.1091026,-34.8260529,DPB3
Lanchonete mil grau,"R. Edmundo Filho, 98 - São José, João Pessoa - PB",-7.1042452,-34.8437582,DPB3
Rockabilly Sanduicheria - Jardim Oceania,"R. Valdemar Chianca, 139 - Jardim Oceania, João Pessoa - PB",-7.0895502,-34.8357518,DPB3
Cachorro quente do Zé Manaíra,"Av. Gen. Edson Ramalho, 396 - Manaíra, João Pessoa - PB",-7.10559,-34.8302085,DPB3
Manaçai - Delivery,"Av. São Gonçalo, 640 - Manaíra, João Pessoa - PB",-7.1040906,-34.8371899,DPB3
Carioca Restaurante e Lanchonete,"R. Celerina Paiva, 433 - Mandacaru, João Pessoa - PB",-7.1045984,-34.8629826,DPB3
HDO,"Av. Guarabira, 645 - Manaíra, João Pessoa - PB",-7.104337,-34.8325556,DPB3
Pare e Prove Lanchonete,"R. Antônio Gomes Carneiro, 74 - Jardim Oceania, João Pessoa - PB",-7.0964612,-34.8362895,DPB3
Mundial lanches,"Av. Olinda - Tambaú, João Pessoa - PB",-7.1119914,-34.8233474,DPB3
Lanchonete frei Damião,"Av. Mascarenhas de Morais, 610 - Mandacaru, João Pessoa - PB",-7.1070786,-34.8577712,DPB3
Empório Café,"Av. Alm. Tamandaré - Tambaú, João Pessoa - PB",-7.1115473,-34.8234766,DPB3
Tapiocódromo,"Av. Alm. Tamandaré, 228 - Tambaú, João Pessoa - PB",-7.1122967,-34.8229757,DPB3
Mundial Lanches,"R. Odilon Maia - Brisamar, João Pessoa - PB",-7.1188232,-34.8426152,DPB3
Casa Do Bolo E Lanchonete,"R. Eduardo Lemos, 166 - Bairro dos Ipês, João Pessoa - PB",-7.1016447,-34.8578391,DPB3
Açaí Empório Cabo Branco,"Av. Cabo Branco, 1328 - Cabo Branco, João Pessoa - PB",-7.1216532,-34.8241439,DPB3
Assistência Técnica Especializada - Hinfo,"Av. Pres. Epitácio Pessoa, 2580 - Sala 04 - Tambauzinho, João Pessoa - PB",-7.1200715,-34.8471865,DPB3
Glaçaí Mandacaru - Sorveteria e Açaiteria,"Av. Mascarenhas de Morais, 327 - Mandacaru, João Pessoa - PB",-7.1069859,-34.8604119,DPB3
"Eletroreparos – Assistência Técnica Especializada em Eletrodomésticos, microondas, forno elétrico, adega de vinhos.","Av. Pres. Castelo Branco, 224 - Castelo Branco, João Pessoa - PB",-7.1287666,-34.8372256,DPB3
THIAGO CELL ASSISTÊNCIA TÉCNICA - PB / TAMBAÚ,"Av. Izidro Gomes, 83 - Tambaú, João Pessoa - PB",-7.1114711,-34.8250901,DPB3
Eletrônica Joana Dark,"Av. Monteiro da Franca, 516 A - Manaíra, João Pessoa - PB",-7.1099923,-34.8307305,DPB3
Chaveiro Altiplano,"R. Helena Freire, 509 - Altiplano Cabo Branco, João Pessoa - PB",-7.1341144,-34.8291625,DPB3
Chaveiro Miramar,"R. Tito Silva, 257 - Miramar, João Pessoa - PB",-7.1219103,-34.8366543,DPB3
Lanchonete El Shaday,"R. dos Milagres, 1167 - Cristo Redentor, João Pessoa - PB",-7.157633,-34.8775952,DPB3
New Point,"Av. Des. Pinho, 458 - Cruz das Armas, João Pessoa - PB",-7.1453546,-34.8902838,DPB3
X Tudo da Celia,"Av. Conceição, 276 - Jaguaribe, João Pessoa - PB",-7.1318148,-34.8778502,DPB3
Cachorro Quente de Dona Maria,"Av. Maximiano Machado, 372 - Jaguaribe, João Pessoa - PB",-7.1286092,-34.8791479,DPB3
Oitizeiro,"Av. Des. Santos Estanislau, 250-436 - Bairro dos Novais, João Pessoa - PB",-7.1544303,-34.8985719,DPB3
Gás De Cozinha Rejane Gás e Água,"R. Dr. Hortêncio Ribeiro, 10 - Castelo Branco, João Pessoa - PB",-7.1302215,-34.8444216,DPB3
Britos Gás e Água Mineral,"Av. Juarez Távora, 1838 - Torre, João Pessoa - PB",-7.1279761,-34.8566875,DPB3
Disc Água e Gás Lianza,"R. Franca Filho, 488 - Manaíra, João Pessoa - PB",-7.1099733,-34.83056,DPB3
Água Azul Bebidas,"R. Tito Silva, 227 - Miramar, João Pessoa - PB",-7.1217084,-34.8367064,DPB3
EBC Água Mineral,"Av. Aragão e Melo, 1090 - Torre, João Pessoa - PB",-7.1264016,-34.8580649,DPB3
Revenda Ultragaz,"Rua Doutor Hortencio Ribeiro- Núm. 10 - Castelo Branco, João Pessoa - PB",-7.1291832,-34.8432402,DPB3
Disk Gás Tambaú,"Av. Nego, 406 - Tambaú, João Pessoa - PB",-7.1137694,-34.8261803,DPB3
Açaí Bom Jesus - Cristo João Pessoa,"R. Murilo Buarque, 420 - Lot. Jardim Itabaiana, João Pessoa - PB",-7.1577719,-34.8831666,DPB3
Açai Land - Açaiteria + Luderia,"Av. Primeiro de Maio, 500 - Jaguaribe, João Pessoa - PB",-7.1339275,-34.8758962,DPB3
Sorveteria Glaçaí,"R. Cel. Joca Velho - Alto do Mateus, João Pessoa - PB",-7.1408532,-34.91122,DPB3
Açaí New Store,"R. Pres. Carlos Luz, 437 - Cristo Redentor, João Pessoa - PB",-7.1605353,-34.8722591,DPB3
Glaçaí Lagoa - Atacado e Varejo,"Parque Sólon de Lucena, 378 B - Centro, João Pessoa - PB",-7.1222932,-34.8795322,DPB3
JAMPA CHAVEIRO,"R. Pres. Nereu Ramos, 1782 - Cristo Redentor, João Pessoa - PB",-7.1556435,-34.8728417,DPB3
Chaveiro Real,"Av. Dois de Fevereiro, 990 - Varjão, João Pessoa - PB",-7.1498086,-34.8737031,DPB3
Dantas chaves,"Av. Cruz das Armas - Cruz das Armas, João Pessoa - PB",-7.1502836,-34.8936233,DPB3
Naldo Chaveiro,"R. Silva Mariz, Box 91 - Cruz das Armas, João Pessoa - PB",-7.1390972,-34.8882772,DPB3
DG CHAVEIRO 24 horas,"R. Genivaldo Lopes de Lima, 284 - Alto do Mateus, João Pessoa - PB",-7.1358872,-34.9148703,DPB3
JRV CHAVES CODIFICADAS,"Av. Primeiro de Maio, 119 - Jaguaribe, João Pessoa - PB",-7.1327785,-34.8790942,DPB3
ASSISTÊNCIA TÉCNICA ELETRÔNICA PADRÃO,"Av. da Fraternidade, 568B - Cristo Redentor, João Pessoa - PB",-7.152756,-34.8825009,DPB3
JSA Assistência Técnica,"R. Asp. José Evandro de Vasconcelos, 161 - Oitizeiro, João Pessoa - PB",-7.1571404,-34.8973305,DPB3
NR Tec Informática,"R. Severino Xavier da Silva, 13 - Alto do Mateus, João Pessoa - PB",-7.1384706,-34.9122756,DPB3
ELETRI MAQ reparos em eletrodomésticos,"R. Thiago Douglas de Lima Barbosa, 323 - Varjão, João Pessoa - PB",-7.1477452,-34.873817,DPB3
"Faltec - Autorizado Exclusivo Brastemp, Consul e Kitchenaid","Rua Quintino Bocaiúva, 740 - Torre, João Pessoa - PB",-7.1257995,-34.8680152,DPB3
Digital Power - Assistência técnica e acessórios,"Av. Cruz das Armas, 1687 - Cruz das Armas, João Pessoa - PB",-7.1469373,-34.8924055,DPB3
Anderson Dr info assistência técnica. especializado em reparo de notebook. Serviços entregue em até 24hrs,"R. Santa Teresa, 151 - Cruz das Armas, João Pessoa - PB",-7.1515425,-34.8901031,DPB3
H2O - Distribuidora Indaiá,"Av. Tabajaras, 1085 - Centro, João Pessoa - PB",-7.1246581,-34.8782292,DPB3
Igor Gás e Água II,"Av. Centenário, 66 - Cruz das Armas, João Pessoa - PB",-7.138142,-34.8861035,DPB3
Luciano Gás e Água,"Rua Quintino Bocaiúva, 751 - Torre, João Pessoa - PB",-7.1255572,-34.8677049,DPB3
Klgás Gás E Água,"R. Lourenço César, 42 - Conj. Esplanada, João Pessoa - PB",-7.1720443,-34.8869861,DPB3
